United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
Adair,4423,2460,149,39,0,0,0
Andrew,4885,1657,135,50,0,0,0
Atchison,1468,392,32,18,0,0,0
Audrain,5209,2069,145,44,2,0,0
Barry,8537,2046,247,143,0,0,0
Barton,3654,586,57,29,0,0,0
Bates,4227,1362,125,52,0,0,0
Benton,5717,1773,143,95,0,0,0
Bollinger,3589,507,47,25,0,0,0
Boone,25940,35608,1243,318,0,1,0
Buchanan,14828,8884,574,283,0,0,0
Butler,9345,1872,226,76,0,0,0
Caldwell,2588,745,68,31,0,0,0
Callaway,9917,4622,332,132,0,0,0
Camden,13380,4384,331,193,0,0,0
Cape Girardeau,20511,6650,473,254,0,0,0
Carroll,2610,685,49,15,0,0,0
Carter,1578,298,26,9,0,0,0
Cass,24848,13927,744,279,0,0,1
Cedar,3962,929,149,109,0,0,0
Chariton,2083,667,38,25,0,0,0
Christian,24206,8070,720,304,0,0,0
Clark,1738,535,45,31,0,0,0
Clay,43210,41987,1593,615,0,0,0
Clinton,5147,2219,148,55,0,0,0
Cole,18289,9487,559,197,0,0,0
Cooper,4198,1737,120,73,0,0,0
Crawford,5822,1610,114,57,0,0,0
Dade,2395,501,64,37,0,0,0
Dallas,4449,1097,125,81,0,0,0
Daviess,2029,608,39,33,0,0,0
United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
De Kalb,2575,700,88,31,0,0,0
Dent,4030,822,102,60,0,0,0
Douglas,4101,780,103,48,0,0,0
Dunklin,4906,1167,92,53,0,0,2
Franklin,25089,11139,589,271,0,0,0
Gasconade,4306,1299,84,23,0,0,0
Gentry,1748,528,37,12,0,0,0
Greene,55499,39211,2223,1078,0,0,0
Grundy,2514,641,46,25,0,0,0
Harrison,2237,445,41,13,0,0,0
Henry,5232,2084,128,84,0,0,0
Hickory,2747,796,87,38,0,0,0
Holt,1383,262,20,6,0,0,0
Howard,2529,1212,99,32,0,0,0
Howell,10336,2452,342,168,0,0,0
Iron,2246,747,49,30,0,0,0
