"United States Senator","Republican
Eric Schmitt","Democratic
Trudy Busch Valentine","Libertarian
Jonathan Dine","Constitution
Paul Venable","Write-In
Nathan V. Mooney","Write-In
Theo Brown Sr","Write-In
David Kirk"
"De Kalb","2575","700","88","31","0","0","0"
"Dent","4030","822","102","60","0","0","0"
"Douglas","4101","780","103","48","0","0","0"
"Dunklin","4906","1167","92","53","0","0","2"
"Franklin","25089","11139","589","271","0","0","0"
"Gasconade","4306","1299","84","23","0","0","0"
"Gentry","1748","528","37","12","0","0","0"
"Greene","55499","39211","2223","1078","0","0","0"
"Grundy","2514","641","46","25","0","0","0"
"Harrison","2237","445","41","13","0","0","0"
"Henry","5232","2084","128","84","0","0","0"
"Hickory","2747","796","87","38","0","0","0"
"Holt","1383","262","20","6","0","0","0"
"Howard","2529","1212","99","32","0","0","0"
"Howell","10336","2452","342","168","0","0","0"
"Iron","2246","747","49","30","0","0","0"
"Jackson","64471","62895","2188","1041","1","0","0"
"Jasper","25183","8500","785","231","0","0","0"
"Jefferson","48881","28670","1226","660","0","0","0"
"Johnson","10019","5134","376","143","0","0","0"
"Kansas City","16353","68143","1134","373","1","0","0"
"Knox","996","317","32","21","0","0","0"
"Laclede","9018","1948","260","125","0","0","0"
"Lafayette","8233","3525","213","59","0","0","0"
"Lawrence","9834","2316","251","160","0","0","0"
"Lewis","2339","716","72","25","0","0","0"
"Lincoln","14099","5202","413","159","0","0","0"
"Linn","2915","1129","68","19","0","0","0"
"Livingston","3523","1131","52","37","0","0","0"
"Macon","4264","1174","103","47","0","0","0"
"Madison","2907","721","63","29","0","0","0"
