"United States Senator","Republican
Eric Schmitt","Democratic
Trudy Busch Valentine","Libertarian
Jonathan Dine","Constitution
Paul Venable","Write-In
Nathan V. Mooney","Write-In
Theo Brown Sr","Write-In
David Kirk"
"Schuyler","1182","304","37","7","0","0","0"
"Scotland","1010","305","32","13","0","0","0"
"Scott","9210","2161","156","98","0","0","0"
"Shannon","2243","586","52","29","0","0","0"
"Shelby","1753","479","53","13","0","0","0"
"St. Charles","83559","64552","2158","709","1","0","0"
"St. Clair","2711","835","101","44","1","0","0"
"St. Francois","12552","5197","338","151","0","0","0"
"St. Louis","137197","226772","4098","1548","7","3","0"
"St. Louis City","12835","69839","1098","324","0","0","0"
"Ste. Genevieve","4329","2181","86","44","0","0","0"
"Stoddard","7320","1145","113","54","0","0","0"
"Stone","10784","2662","234","129","0","0","0"
"Sullivan","1360","344","30","10","0","0","0"
"Taney","13734","3542","335","184","0","0","0"
"Texas","6621","1337","184","115","0","0","0"
"Vernon","4620","1325","136","75","0","0","0"
"Warren","9103","3768","233","68","0","0","0"
"Washington","5267","1498","109","60","0","0","0"
"Wayne","3374","605","54","30","0","0","0"
"Webster","10667","3008","325","206","0","0","0"
"Worth","651","184","22","6","0","0","0"
"Wright","5210","819","159","55","1","0","0"
"Total","1146966","872694","34821","14608","14","4","3"
