"United States Senator","Republican
Eric Schmitt","Democratic
Trudy Busch Valentine","Libertarian
Jonathan Dine","Constitution
Paul Venable","Write-In
Nathan V. Mooney","Write-In
Theo Brown Sr","Write-In
David Kirk"
"Maries","2737","652","45","20","0","0","0"
"Marion","6254","2197","187","55","0","0","0"
"McDonald","5001","887","151","52","0","0","0"
"Mercer","1028","213","20","3","0","0","0"
"Miller","6889","1574","184","92","0","0","0"
"Mississippi","2237","592","42","25","0","0","0"
"Moniteau","3903","1088","95","42","0","0","0"
"Monroe","2344","739","56","19","0","0","0"
"Montgomery","2990","1015","51","29","0","0","0"
"Morgan","5150","1584","137","80","0","0","0"
"New Madrid","3347","964","76","25","0","0","0"
"Newton","15565","3878","388","106","0","0","0"
"Nodaway","4757","2156","116","32","0","0","0"
"Oregon","2391","571","61","48","0","0","0"
"Osage","4587","856","76","14","0","0","0"
"Ozark","2960","610","73","56","0","0","0"
"Pemiscot","2457","707","40","13","0","0","0"
"Perry","5113","1101","85","41","0","0","0"
"Pettis","9032","3677","283","160","0","0","0"
"Phelps","9268","4001","259","90","0","0","0"
"Pike","3738","1299","82","48","0","0","0"
"Platte","20304","19918","683","215","0","0","0"
"Polk","7948","2184","303","128","0","0","0"
"Pulaski","6703","2224","270","116","0","0","0"
"Putnam","1379","287","29","19","0","0","0"
"Ralls","2917","935","95","35","0","0","0"
"Randolph","5242","1954","163","65","0","0","0"
"Ray","5286","2403","158","92","0","0","0"
"Reynolds","1817","512","43","24","0","0","0"
"Ripley","3005","609","82","39","0","0","0"
"Saline","4030","2079","119","50","0","0","0"
